county,location_type,Sex,Age,household_size,education_level,marital_status,has_disability,monthly_income,experienced_shock,mobile_ownership_1,mobile_money_access,barriers_mobile_money,Savings_formal,Savings_informal,Loan_formal,Loan_informal,defaulted,formal_service_use,barriers_bank,prodsum1,fl_score,nfhi_11,nfhi_12,nfhi_13,accessto_13k_1month,not_difficult,financial_status
Nakuru,1138,Female,3,1,2,4,0,5000,0,1,1,0,0,1,0,1,0,1,1,3,2,1,0,1,0,0,Improved
Vihiga,1430,Male,6,2,3,4,0,5000,0,1,1,0,1,0,0,0,0,1,0,5,1,1,1,1,0,0,Worsened
Kitui,503,Female,3,2,2,1,0,5000,1,1,1,0,0,0,1,1,1,1,1,3,1,0,0,0,0,0,Worsened
Nandi,1042,Male,2,2,3,1,0,5000,0,1,1,0,1,0,1,0,1,1,0,4,2,1,0,1,0,0,Worsened
Nandi,1032,Female,5,2,2,4,0,5000,1,1,1,0,1,0,0,0,0,1,0,5,3,0,0,0,1,0,Stayed the same
Nyandarua,635,Female,6,2,2,1,1,5000,0,1,1,0,0,0,1,0,0,1,0,4,2,0,0,0,0,0,Worsened
Nyamira,1744,Female,6,3,1,3,1,5000,1,0,0,7,0,0,0,0,0,0,1,1,0,0,1,1,1,0,Stayed the same
Nakuru,1145,Male,6,2,2,4,0,5000,1,1,1,0,1,0,1,0,1,1,1,4,3,0,0,1,1,1,Stayed the same
Elgeyo-Marakwet,1018,Male,2,1,4,1,0,5000,0,1,1,0,1,1,0,0,0,1,1,5,2,1,1,1,1,0,Stayed the same
Samburu,913,Female,3,2,1,4,0,5000,0,1,1,0,0,1,0,1,1,1,1,5,2,1,1,1,1,0,Worsened
Laikipia,1120,Male,4,2,2,4,0,5000,1,1,1,0,1,0,1,1,1,1,8,6,1,1,1,1,1,1,Worsened
Taita-Taveta,197,Male,3,1,2,4,0,5000,0,1,1,0,1,0,1,1,1,1,1,5,3,0,0,1,0,0,Stayed the same
Siaya,1548,Female,6,2,2,3,0,5000,1,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,Worsened
Kiambu,769,Male,6,2,3,3,0,5000,0,0,0,7,0,0,0,1,1,0,1,0,3,0,1,0,0,0,Worsened
Kisumu,1563,Female,3,2,3,4,0,5000,1,1,1,0,0,0,1,0,0,1,8,4,1,0,0,0,0,0,Worsened
Narok,1192,Male,3,3,3,2,0,5000,1,1,1,0,1,0,1,0,0,1,8,5,2,1,1,1,1,1,Improved
Kitui,472,Female,3,2,2,3,0,5000,0,1,1,0,0,1,0,0,0,1,1,3,3,1,1,1,0,0,Stayed the same
Kericho,1273,Male,2,2,3,1,0,5000,0,0,0,7,0,0,0,0,0,0,1,0,1,1,1,1,0,0,Stayed the same
Laikipia,1125,Female,4,2,4,4,0,5000,0,1,1,0,1,0,1,1,0,1,5,9,2,0,1,1,1,0,Worsened
Nandi,1025,Male,2,2,2,1,0,5000,0,1,1,0,1,0,0,0,0,1,1,2,3,0,0,0,0,0,Improved
Laikipia,1104,Female,3,2,3,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,2,0,1,1,1,0,Worsened
Mandera,273,Female,4,3,1,4,0,5000,0,1,1,0,1,1,0,0,0,1,1,3,2,0,0,1,1,0,Improved
Nairobi City,1777,Male,3,1,3,4,0,5000,0,1,1,0,0,0,1,0,1,1,1,3,3,1,0,0,0,0,Worsened
Wajir,253,Female,3,1,1,2,0,5000,0,1,1,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,Worsened
Kilifi,127,Female,5,2,2,1,0,5000,1,1,1,0,0,0,0,0,0,1,1,1,2,1,0,1,0,0,Worsened
Garissa,219,Male,4,2,4,4,0,5000,1,1,1,0,0,0,0,1,0,1,0,4,3,1,1,1,1,0,Stayed the same
Bomet,1340,Female,5,2,2,4,0,5000,0,1,1,0,0,1,0,1,0,1,8,4,3,1,1,0,1,0,Stayed the same
Meru,353,Male,5,2,2,4,0,5000,0,1,1,0,1,1,1,1,1,1,0,10,2,0,0,0,1,0,Worsened
Tharaka-Nithi,407,Male,6,2,3,2,1,5000,0,0,1,7,0,0,0,1,0,1,1,1,2,0,0,0,1,0,Worsened
Tana River,138,Female,3,1,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,8,1,3,0,0,0,0,0,Worsened
Nakuru,1137,Female,6,2,3,4,0,5000,0,0,1,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1,Worsened
Baringo,1089,Female,5,2,4,4,0,5000,1,1,1,0,1,0,0,0,0,1,0,3,2,1,0,0,1,1,Worsened
Nyamira,1733,Male,3,1,4,4,0,5000,0,1,1,0,1,0,0,0,0,1,0,9,3,1,1,0,1,0,Improved
Busia,1511,Female,3,2,3,1,0,5000,0,1,1,8,0,0,1,0,1,1,4,1,2,1,1,1,0,0,Stayed the same
Busia,1489,Male,3,2,2,4,1,5000,0,1,1,0,1,1,1,0,0,1,1,6,2,0,0,0,0,0,Improved
Tharaka-Nithi,398,Female,6,3,1,3,1,5000,0,1,0,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Worsened
Busia,1499,Female,3,2,2,4,0,5000,0,0,0,4,0,0,0,0,0,0,1,0,2,0,1,1,0,0,Stayed the same
West Pokot,861,Male,5,1,4,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,11,2,1,1,1,1,0,Stayed the same
Taita-Taveta,185,Female,3,2,3,1,0,5000,0,1,1,0,0,1,1,1,1,1,1,7,2,1,1,0,1,1,Worsened
Makueni,591,Male,2,1,3,1,0,5000,0,1,1,0,1,0,1,0,0,1,0,7,3,1,1,1,1,0,Stayed the same
Baringo,1078,Female,4,2,3,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,3,0,1,0,0,0,Worsened
Narok,1195,Male,3,2,2,2,0,5000,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,Stayed the same
Vihiga,1409,Female,6,2,1,3,0,5000,1,0,1,0,0,0,0,1,1,1,1,2,1,0,1,1,0,0,Worsened
Kisumu,1581,Male,2,2,3,1,0,5000,1,1,1,0,1,0,1,0,0,1,1,6,2,1,0,0,0,0,Worsened
Kwale,84,Female,4,2,2,4,0,5000,1,0,1,0,1,0,1,0,1,1,1,4,3,0,1,0,0,0,Worsened
Isiolo,345,Female,1,2,3,1,0,5000,0,0,0,1,0,0,0,0,0,0,1,0,3,1,1,1,0,0,Worsened
Nairobi City,1818,Male,3,2,3,4,0,5000,1,1,1,0,1,1,1,1,0,1,0,12,2,1,1,0,1,1,Worsened
Baringo,1094,Male,1,2,3,1,0,5000,0,1,1,0,1,0,1,0,0,1,0,5,2,0,0,0,0,0,Worsened
Kitui,506,Male,2,2,4,1,0,5000,0,1,1,0,1,0,1,0,0,1,3,5,2,1,1,1,1,1,Improved
Uasin Gishu,958,Female,3,1,2,4,0,5000,0,1,1,0,1,1,0,0,0,1,1,4,2,1,0,1,0,0,Worsened
Laikipia,1107,Male,3,1,3,1,0,5000,1,1,1,0,1,0,0,1,0,1,0,4,1,0,0,0,1,0,Worsened
Kisii,1703,Male,5,2,2,4,0,5000,0,1,1,0,0,0,1,0,1,1,1,7,1,0,0,1,1,0,Improved
Tana River,145,Male,6,1,2,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,2,2,0,0,1,1,0,Worsened
Turkana,831,Female,6,3,1,3,1,5000,1,0,1,0,1,0,0,1,1,1,1,3,0,0,1,1,0,0,Worsened
Vihiga,1415,Male,3,2,3,4,0,5000,1,1,1,0,1,1,1,0,1,1,4,9,3,1,1,1,1,1,Stayed the same
Marsabit,310,Male,3,2,1,1,0,5000,0,1,1,0,0,0,1,0,1,1,0,3,2,0,1,1,1,0,Worsened
Embu,448,Female,1,1,3,1,0,5000,1,0,0,7,0,0,0,0,0,0,1,0,1,0,1,1,0,0,Worsened
Garissa,1835,Male,4,3,1,4,0,5000,1,0,0,7,0,0,0,1,0,0,1,1,1,0,0,1,0,0,Worsened
Vihiga,1425,Female,3,2,3,1,0,5000,1,1,1,0,1,1,1,0,1,1,1,9,1,1,1,1,1,0,Improved
Embu,469,Female,3,2,4,4,0,5000,1,1,1,0,1,0,0,0,0,1,0,8,3,0,1,0,1,0,Worsened
Nandi,1025,Male,2,2,3,1,0,5000,0,1,0,3,0,0,0,0,0,0,1,0,3,1,0,1,0,0,Improved
Elgeyo-Marakwet,1003,Female,3,2,2,4,0,5000,1,0,1,0,1,0,0,1,1,1,1,3,3,0,1,0,0,0,Stayed the same
Nairobi City,1789,Female,2,1,3,1,0,5000,0,1,1,0,0,0,0,1,1,1,1,2,3,1,1,0,0,0,Improved
Busia,1486,Female,2,2,3,1,0,5000,0,0,0,2,0,0,0,0,0,0,2,0,1,1,1,1,1,1,Stayed the same
Kisumu,1588,Female,3,2,2,4,0,5000,1,1,1,0,1,1,1,1,1,1,0,10,2,0,0,0,0,0,Worsened
Nyeri,654,Female,3,2,3,4,0,5000,1,1,0,9,0,1,0,1,0,0,1,3,1,0,1,1,0,0,Stayed the same
Kiambu,778,Male,1,2,3,1,0,5000,1,1,1,2,1,0,0,0,0,1,0,2,1,1,1,1,1,0,Stayed the same
Nyeri,680,Female,3,2,4,1,1,5000,0,1,1,0,1,0,1,1,1,1,0,11,2,1,1,0,1,0,Worsened
Nakuru,1139,Female,4,1,2,4,0,5000,1,1,1,0,0,0,0,0,0,1,3,2,3,1,1,1,1,1,Worsened
Wajir,250,Male,2,3,3,1,0,5000,1,0,0,4,0,0,0,0,0,0,0,0,3,0,1,1,0,0,Stayed the same
Kajiado,1251,Female,3,1,4,1,0,5000,0,1,1,0,1,0,1,0,0,1,3,7,2,1,1,1,1,0,Stayed the same
Mombasa,13,Female,5,2,4,4,0,5000,0,1,1,0,1,1,0,0,0,1,1,4,3,0,1,1,0,0,Stayed the same
Garissa,219,Male,4,2,2,4,0,5000,1,1,1,0,0,0,0,1,0,1,1,2,2,0,0,1,0,0,Stayed the same
Nairobi City,1815,Female,4,2,2,2,0,5000,0,1,1,0,1,0,1,0,0,1,1,4,2,1,1,1,1,1,Improved
Homabay,1612,Female,3,1,2,4,0,5000,0,1,1,0,0,1,0,1,0,1,1,5,2,0,0,0,1,1,Worsened
Murang'a,758,Female,6,2,4,4,0,5000,1,1,1,0,1,1,0,1,0,1,0,8,2,1,0,0,1,0,Worsened
Tharaka-Nithi,397,Female,1,2,3,1,0,5000,0,0,1,2,0,0,0,1,1,1,2,1,3,0,0,1,0,0,Stayed the same
Nairobi City,1828,Male,4,2,2,4,1,5000,1,1,1,0,1,1,1,0,0,1,0,6,2,0,0,1,1,0,Worsened
Bungoma,1445,Male,5,2,3,4,0,5000,1,0,1,0,1,0,1,0,0,1,0,8,3,0,0,1,1,1,Worsened
Tana River,153,Female,5,2,3,1,0,5000,0,1,1,0,0,1,0,0,0,1,1,3,2,0,0,1,0,0,Worsened
Kirinyaga,704,Female,2,2,3,1,0,5000,0,1,1,0,0,0,1,0,0,1,1,3,2,1,1,1,0,0,Stayed the same
Bomet,1323,Male,6,2,2,4,0,5000,0,0,0,7,0,0,0,0,0,0,3,1,1,1,1,1,0,0,Stayed the same
Uasin Gishu,962,Male,5,1,4,4,0,5000,0,1,1,0,1,0,1,0,0,1,3,8,3,1,1,1,1,1,Improved
Nairobi City,1811,Female,2,2,3,1,0,5000,1,1,1,0,0,0,0,0,0,1,1,1,3,0,1,0,1,1,Stayed the same
Busia,1512,Female,3,2,4,4,0,5000,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,Stayed the same
West Pokot,880,Male,2,2,2,1,0,5000,1,0,0,2,0,0,0,0,0,0,8,0,2,0,0,0,0,0,Stayed the same
Kirinyaga,707,Male,3,2,4,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,9,3,1,1,1,1,1,Improved
Kakamega,1377,Female,4,2,2,4,0,5000,1,0,0,7,0,0,1,1,1,1,4,2,2,0,1,0,0,0,Worsened
Samburu,916,Male,2,2,3,1,0,5000,0,1,1,0,1,0,1,0,1,1,1,3,3,1,1,1,1,1,Improved
Vihiga,1408,Female,2,2,3,1,0,5000,0,1,1,0,1,1,1,0,0,1,1,5,2,0,1,1,1,0,Worsened
Marsabit,314,Male,6,2,2,2,0,5000,1,1,1,0,1,0,1,0,1,1,0,4,2,0,1,1,0,0,Worsened
Kisumu,1572,Female,4,2,2,3,0,5000,0,1,1,0,1,0,1,0,0,1,0,5,2,0,0,0,0,0,Worsened
Nyeri,642,Female,6,1,2,4,0,5000,1,1,1,0,0,0,0,1,1,1,0,4,2,0,1,1,0,0,Worsened
Lamu,164,Male,6,2,2,4,0,5000,1,1,1,0,0,1,0,0,0,1,3,3,3,1,1,1,0,0,Worsened
Nyamira,1740,Female,2,1,3,1,0,5000,1,1,1,0,0,0,1,1,0,1,1,3,3,0,1,0,1,0,Worsened
Turkana,850,Female,6,2,2,3,0,5000,1,1,1,0,1,0,0,0,0,1,1,2,2,0,0,1,1,0,Worsened
Kakamega,1353,Male,6,2,2,4,0,5000,1,1,1,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,Stayed the same
Kirinyaga,694,Female,3,2,3,1,0,5000,0,1,1,0,0,1,0,1,1,1,3,3,3,1,0,1,0,0,Worsened
Makueni,573,Female,5,2,3,4,0,5000,1,1,1,0,0,1,1,0,1,1,1,4,2,0,1,0,0,0,Improved
Kilifi,127,Male,2,2,3,1,0,5000,0,1,1,0,1,0,0,0,0,1,8,2,1,1,1,1,0,0,Worsened
Kisumu,1563,Male,1,2,2,1,0,5000,0,1,1,2,0,0,0,1,1,1,2,1,3,0,1,1,0,0,Worsened
Machakos,538,Male,1,1,3,1,0,5000,0,0,1,1,0,0,0,0,0,1,1,0,3,1,1,1,1,0,Improved
Turkana,852,Female,2,1,3,1,0,5000,1,1,1,0,1,0,1,0,1,1,1,3,2,0,0,1,0,0,Worsened
Garissa,231,Female,3,2,2,4,0,5000,1,1,1,0,0,0,0,1,0,1,1,2,2,0,0,0,1,1,Worsened
Tana River,157,Male,5,1,2,4,0,5000,1,0,1,0,0,0,0,1,1,1,1,2,3,0,0,0,0,0,Stayed the same
Turkana,857,Male,3,2,3,4,0,5000,0,1,1,0,1,0,1,0,1,1,1,12,3,0,0,1,1,0,Stayed the same
Migori,1649,Male,3,2,2,4,0,5000,0,1,1,0,1,0,0,1,1,1,1,3,2,0,0,0,1,1,Improved
Embu,451,Male,3,1,4,1,0,5000,0,1,1,0,0,0,0,1,0,1,1,2,0,1,1,1,0,0,Stayed the same
Wajir,244,Female,6,1,1,4,0,5000,0,1,1,0,0,0,0,1,1,1,8,2,2,0,0,1,0,0,Worsened
Mandera,289,Female,3,3,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,Stayed the same
Nyamira,1736,Male,6,2,2,4,0,5000,1,1,1,0,0,0,0,1,0,1,0,6,2,0,1,1,1,0,Stayed the same
Vihiga,1412,Female,2,2,3,4,0,5000,1,0,0,7,0,0,0,1,0,0,1,1,3,0,1,0,1,1,Worsened
Kitui,501,Female,1,3,2,1,0,5000,0,0,0,7,0,0,0,0,0,0,1,0,2,1,1,1,0,0,Stayed the same
Bomet,1314,Male,1,2,3,1,0,5000,0,0,0,7,0,1,0,0,0,0,2,1,3,1,1,1,1,1,Worsened
Bomet,1334,Female,4,2,3,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,7,3,1,1,1,1,1,Improved
Machakos,531,Female,5,2,2,4,0,5000,0,1,1,0,1,0,0,0,0,1,1,2,2,1,1,1,1,0,Improved
Kiambu,770,Male,3,1,4,1,0,5000,0,1,1,0,1,0,1,0,0,1,0,7,3,1,1,1,1,1,Worsened
Kwale,52,Male,2,2,2,1,0,5000,0,0,1,7,0,0,0,0,0,1,2,0,3,0,1,1,0,0,Worsened
Kisumu,1587,Female,2,1,2,1,0,5000,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,Worsened
Machakos,545,Female,2,2,2,1,0,5000,0,1,1,0,1,0,1,0,0,1,1,5,3,1,0,1,0,0,Stayed the same
Kirinyaga,711,Female,6,2,3,1,0,5000,0,1,1,0,1,0,0,0,0,1,3,3,1,1,1,1,0,0,Worsened
Machakos,525,Female,1,2,3,1,0,5000,0,0,1,7,0,0,0,0,0,1,2,0,2,1,1,1,0,0,Stayed the same
Uasin Gishu,968,Male,4,1,3,4,0,5000,1,1,1,0,1,0,1,1,1,1,0,10,2,0,0,0,1,0,Stayed the same
Busia,1513,Female,3,2,2,4,0,5000,0,1,1,0,0,1,1,1,1,1,1,5,2,0,0,0,1,0,Worsened
Nyamira,1740,Female,6,2,2,4,0,5000,1,1,1,0,0,0,0,1,0,1,4,2,3,1,1,1,1,0,Worsened
Laikipia,1099,Male,6,1,3,4,0,5000,1,1,1,0,1,0,0,1,0,1,0,3,3,1,1,1,0,0,Stayed the same
Bungoma,1460,Male,1,2,2,1,0,5000,0,0,1,0,1,0,0,1,1,1,2,1,3,0,0,0,0,0,Worsened
Vihiga,1398,Male,1,2,2,1,0,5000,0,1,1,2,0,0,0,0,0,1,2,0,3,1,1,1,0,0,Stayed the same
Baringo,1069,Female,4,2,2,4,0,5000,1,1,1,0,0,1,1,1,1,1,1,5,3,0,1,0,1,1,Worsened
Kisumu,1567,Female,6,1,2,3,0,5000,1,1,1,0,1,0,0,0,0,1,0,3,2,0,1,1,1,1,Worsened
Baringo,1082,Female,6,2,2,4,0,5000,1,1,1,1,0,1,0,0,0,1,1,3,2,1,1,1,0,0,Stayed the same
Nairobi City,1782,Male,2,2,3,1,0,5000,0,1,1,0,1,1,1,0,0,1,3,9,2,1,1,0,1,0,Improved
Nandi,1061,Female,4,2,2,2,0,5000,0,1,1,0,0,0,1,1,1,1,1,6,2,0,0,1,0,0,Stayed the same
Mombasa,26,Female,4,2,2,2,0,5000,1,1,1,0,0,0,1,1,1,1,1,5,1,1,0,1,1,0,Worsened
Tharaka-Nithi,397,Female,6,3,2,3,0,5000,0,1,1,0,0,0,0,1,1,1,8,3,2,1,0,0,0,0,Stayed the same
Kitui,474,Male,4,2,2,4,0,5000,1,1,1,0,1,1,1,1,0,1,3,10,3,1,1,1,0,0,Worsened
Kwale,63,Male,3,2,4,1,0,5000,0,1,1,0,1,0,1,0,1,1,0,8,3,0,0,0,0,0,Improved
Tharaka-Nithi,400,Male,6,3,3,4,0,5000,0,1,1,0,0,0,1,0,1,1,3,3,2,0,0,1,1,0,Worsened
Nyamira,1747,Female,5,2,2,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,3,0,1,1,0,0,Improved
Embu,444,Male,6,2,2,4,0,5000,0,1,1,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,Stayed the same
Isiolo,336,Female,1,1,3,1,0,5000,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,Stayed the same
Kitui,496,Male,5,2,2,2,0,5000,0,1,1,0,1,0,1,1,1,1,1,4,3,1,1,1,0,0,Improved
Murang'a,762,Male,1,1,3,1,0,5000,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,1,0,0,Worsened
Marsabit,308,Male,4,3,3,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,Worsened
Kakamega,1351,Male,1,2,2,1,0,5000,0,1,1,2,0,0,0,0,0,1,2,0,3,1,1,1,0,0,Worsened
Kajiado,1268,Female,4,1,2,1,0,5000,1,1,1,0,0,0,1,0,0,1,1,3,2,1,1,0,1,1,Worsened
Tharaka-Nithi,415,Female,6,2,1,3,0,5000,1,0,0,2,0,0,0,0,0,0,8,0,1,1,0,1,0,0,Stayed the same
Embu,455,Female,6,1,2,3,0,5000,0,1,1,0,0,0,1,1,1,1,1,4,0,0,1,1,0,0,Worsened
Nairobi City,1796,Female,2,2,3,1,0,5000,0,1,1,0,1,0,1,0,0,1,3,6,1,1,1,1,1,1,Stayed the same
Uasin Gishu,948,Male,2,2,2,1,0,5000,0,0,0,2,0,0,0,0,0,0,2,0,3,1,1,1,0,0,Stayed the same
Elgeyo-Marakwet,1012,Male,4,1,2,4,0,5000,1,1,1,0,1,1,0,0,0,1,1,3,3,1,1,0,1,1,Improved
Kajiado,1240,Female,6,2,2,2,0,5000,1,1,1,0,0,1,1,1,1,1,1,6,1,1,1,1,0,0,Worsened
Murang'a,756,Female,4,2,4,2,0,5000,0,1,1,0,0,1,1,1,1,1,0,8,2,1,0,0,1,0,Worsened
Kisumu,1579,Male,3,2,2,4,0,5000,1,1,1,0,0,0,1,1,1,1,1,6,2,0,1,0,1,1,Worsened
Kericho,1308,Female,4,1,4,1,0,5000,0,1,1,0,1,0,0,1,0,1,0,10,3,0,0,1,1,0,Worsened
Tharaka-Nithi,426,Male,3,1,4,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,10,2,1,1,1,1,1,Improved
Tana River,144,Female,3,1,1,4,0,5000,1,1,1,0,0,0,0,1,1,1,8,2,3,0,0,0,0,0,Worsened
Laikipia,1110,Female,3,1,3,4,0,5000,1,1,1,0,1,1,0,0,0,1,1,3,2,0,1,0,1,0,Improved
Meru,367,Female,6,3,1,3,1,5000,1,1,1,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,Worsened
Nyandarua,622,Male,6,3,2,4,0,5000,0,1,1,0,0,0,0,1,0,1,1,3,3,1,0,1,0,0,Worsened
Laikipia,1110,Female,6,3,2,3,1,5000,1,1,1,0,0,1,0,1,0,1,1,4,3,1,1,0,0,0,Worsened
Migori,1668,Female,2,2,3,4,0,5000,0,1,1,0,1,1,1,1,0,1,1,7,2,0,0,0,0,0,Stayed the same
Murang'a,725,Male,2,1,3,1,0,5000,0,0,0,7,0,0,0,0,0,0,1,0,1,0,1,1,0,0,Worsened
Busia,1509,Female,3,2,3,4,0,5000,1,1,1,0,1,0,1,0,1,1,1,6,3,0,0,0,0,0,Improved
Kakamega,1352,Male,6,2,3,4,1,5000,0,0,1,0,1,0,1,1,1,1,1,4,3,0,1,0,0,0,Stayed the same
Embu,457,Male,6,2,2,4,0,5000,0,1,1,0,0,0,1,1,1,1,0,6,2,1,1,0,0,0,Worsened
Kilifi,100,Female,6,2,1,4,0,5000,1,0,0,7,0,0,0,0,0,0,1,0,2,0,1,1,0,0,Stayed the same
Busia,1503,Female,3,2,2,4,0,5000,1,1,1,0,0,1,0,0,0,1,1,3,3,0,0,1,0,0,Worsened
Turkana,823,Female,3,3,1,3,1,5000,0,0,1,0,1,0,1,0,1,1,0,4,1,0,0,1,0,0,Worsened
West Pokot,864,Female,3,2,2,4,0,5000,1,1,0,7,0,0,0,0,0,0,1,0,2,0,1,1,0,0,Improved
Samburu,914,Male,3,1,4,1,0,5000,0,1,1,0,1,0,0,0,0,1,0,8,2,1,1,1,1,0,Stayed the same
Kitui,476,Male,6,2,2,4,0,5000,0,1,1,0,0,0,0,0,0,1,0,2,2,1,1,1,0,0,Worsened
Uasin Gishu,976,Male,2,1,4,1,0,5000,0,1,1,0,1,0,0,0,0,1,1,1,3,0,0,0,1,0,Worsened
Nyamira,1745,Male,6,1,3,4,0,5000,0,1,1,0,0,0,0,0,0,1,8,3,3,1,1,1,0,0,Improved
Isiolo,322,Female,4,2,2,4,0,5000,0,1,1,0,0,0,0,0,0,1,4,1,1,1,1,1,1,1,Improved
Kitui,471,Male,2,3,3,1,0,5000,0,1,1,0,1,0,0,0,0,1,1,2,1,1,1,1,0,0,Stayed the same
Wajir,1843,Male,4,3,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,4,1,0,1,1,1,1,1,Stayed the same
Mombasa,3,Female,1,2,2,1,0,5000,0,1,1,2,0,1,0,1,0,1,2,2,3,1,1,1,0,0,Stayed the same
Meru,391,Male,2,2,3,1,0,5000,0,1,1,0,1,0,1,0,1,1,3,6,3,1,0,0,1,0,Worsened
Machakos,543,Female,3,1,4,1,0,5000,1,1,1,0,0,0,1,0,1,1,0,6,2,1,1,1,0,0,Worsened
Nyamira,1738,Male,5,2,4,4,0,5000,1,1,1,0,0,1,1,0,0,1,0,12,3,1,1,1,1,1,Worsened
Kericho,1297,Male,2,1,3,1,0,5000,0,1,1,2,0,0,0,0,0,1,2,0,3,1,1,1,0,0,Worsened
Baringo,1085,Male,2,2,4,1,0,5000,0,1,1,0,1,0,1,0,0,1,1,7,3,0,1,1,1,1,Improved
Kakamega,1378,Female,6,2,2,3,1,5000,0,0,1,7,0,0,0,0,0,1,1,0,1,0,1,1,0,0,Worsened
Wajir,250,Male,5,3,1,4,0,5000,1,1,1,0,0,0,0,0,0,1,0,2,3,1,1,1,0,0,Worsened
Elgeyo-Marakwet,1020,Female,6,2,4,4,0,5000,0,1,1,0,1,1,1,1,0,1,0,12,2,1,1,1,1,0,Worsened
Mombasa,32,Female,3,2,3,2,0,5000,0,1,1,0,0,0,1,1,1,1,1,4,2,0,0,0,0,0,Improved
West Pokot,881,Female,1,2,2,1,0,5000,1,0,0,7,0,0,0,1,0,0,2,2,2,1,0,1,0,0,Worsened
Kajiado,1230,Male,4,2,2,4,0,5000,1,1,1,0,1,0,1,0,0,1,0,11,2,1,1,0,1,1,Improved
Mombasa,26,Male,3,2,2,4,0,5000,1,1,1,0,1,0,1,0,1,1,1,6,3,0,0,1,1,0,Worsened
West Pokot,862,Female,3,2,2,4,0,5000,1,1,0,3,0,0,0,0,0,0,1,0,3,1,0,1,0,0,Worsened
Migori,1687,Male,2,2,3,1,0,5000,0,1,1,0,1,0,1,0,0,1,0,10,2,0,0,0,1,1,Worsened
Baringo,1087,Female,3,2,2,4,0,5000,0,1,1,0,1,1,0,0,0,1,1,4,2,0,0,0,1,0,Worsened
Murang'a,748,Female,6,2,2,2,0,5000,0,1,1,0,1,1,1,1,0,1,3,11,1,1,1,0,1,0,Stayed the same
Kitui,501,Male,5,3,2,4,0,5000,0,1,1,0,1,0,0,0,0,1,0,6,3,1,1,1,1,1,Improved
Nyeri,678,Male,2,2,3,1,0,5000,0,1,1,3,0,0,0,0,0,1,3,0,2,1,0,1,1,0,Stayed the same
Isiolo,325,Female,6,2,1,3,0,5000,0,0,0,7,1,0,0,1,1,1,0,2,0,0,0,0,0,0,Stayed the same
Taita-Taveta,202,Male,6,2,4,4,0,5000,1,1,1,0,1,0,0,0,0,1,0,5,2,1,1,1,1,1,Worsened
Busia,1496,Female,3,2,3,4,0,5000,1,1,1,0,0,1,1,0,1,1,1,4,2,0,0,1,0,0,Worsened
Migori,1673,Female,5,2,2,4,0,5000,0,1,1,0,0,1,1,1,1,1,1,7,2,0,1,1,0,0,Worsened
Bungoma,1473,Male,3,2,3,4,0,5000,0,1,1,0,1,0,1,0,1,1,1,4,3,1,0,1,0,0,Improved
Migori,1663,Male,6,2,2,4,0,5000,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Stayed the same
Murang'a,762,Male,5,3,2,2,1,5000,1,0,0,7,0,0,0,1,0,0,1,1,1,0,0,1,1,0,Worsened
Embu,441,Female,6,2,2,4,0,5000,0,1,1,0,0,1,0,1,0,1,0,5,3,1,1,0,0,0,Worsened
Samburu,916,Male,3,1,4,4,0,5000,0,1,1,0,1,1,1,1,1,1,0,11,3,1,1,0,1,1,Worsened
Trans Nzoia,931,Male,3,2,3,1,0,5000,1,1,1,0,0,0,1,0,1,1,0,2,3,1,1,0,0,0,Stayed the same
West Pokot,861,Female,6,1,1,4,1,5000,1,1,1,0,1,0,0,1,0,1,1,2,2,0,1,0,1,1,Worsened
Nakuru,1142,Female,6,1,2,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,2,2,1,1,1,1,0,Improved
Kisii,1700,Male,3,2,3,4,0,5000,1,1,1,0,1,1,0,1,1,1,1,5,3,1,1,1,1,0,Worsened
Kisii,1724,Female,2,2,4,1,0,5000,0,1,1,0,1,1,1,1,1,1,0,12,3,0,0,1,0,0,Improved
